ticker,company,gics_sector,n_values,E_score,E_families,E_family_list,E_anchor,E_level,S_score,S_families,S_family_list,S_anchor,S_level,G_score,G_families,G_family_list,G_anchor,G_level,e_band_width,n_reliable
GS,Goldman Sachs,Financials,12,1.1,2,"climate_targets, ghg",True,partial,0.4,1,social_assessment,False,thin,0.2,1,supply_chain,False,thin,14.285714285714292,0
GWW,W. W. Grainger,Industrials,12,0.0,0,,False,none,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
HAL,Halliburton,Energy,25,1.6,2,"ghg, pollutants",True,strong,1.7,2,"occupational_safety, wage_law",True,strong,1.2,2,"compliance, supply_chain",True,partial,33.33333333333334,2
HAS,Hasbro,Consumer Discretionary,14,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
HBAN,Huntington Bancshares,Financials,11,0.0,0,,False,none,0.7,1,wage_law,False,thin,0.2,1,supply_chain,False,thin,,0
HCA,HCA Healthcare,Health Care,11,0.0,0,,False,none,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
HD,Home Depot (The),Consumer Discretionary,25,0.3,1,climate_targets,False,thin,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,0.7,2,"commitments, supply_chain",False,thin,,1
HIG,Hartford (The),Financials,7,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
HII,Huntington Ingalls Industries,Industrials,26,1.6,2,"ghg, pollutants",True,strong,1.7,2,"occupational_safety, wage_law",True,strong,1.2,2,"compliance, supply_chain",True,partial,48.36601307189543,2
HLT,Hilton Worldwide,Consumer Discretionary,12,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
HON,Honeywell Technologies,Industrials,28,1.6,2,"ghg, pollutants",True,strong,1.7,2,"occupational_safety, wage_law",True,strong,1.2,2,"compliance, supply_chain",True,partial,27.777777777777786,2
HONA,Honeywell Aerospace,Industrials,6,0.0,0,,False,none,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
HOOD,Robinhood Markets,Financials,4,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
HPE,Hewlett Packard Enterprise,Information Technology,18,0.3,1,climate_targets,False,thin,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
HPQ,HP Inc.,Information Technology,40,2.7,4,"climate_targets, generation, ghg, pollutants",True,strong,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,1.7,3,"commitments, compliance, supply_chain",True,strong,45.45454545454545,3
