ticker,anlagen,freisetzung_lbs,krebs_lbs,company,gics_sector
LIN,17,233931.03,58103.729999999996,Linde plc,Materials
LLY,2,39610.9,57.8,Lilly (Eli),Health Care
LMT,5,59960.406,1783.583,Lockheed Martin,Industrials
LNT,4,346850.696,118.496,Alliant Energy,Utilities
LRCX,2,12873.9,0.0,Lam Research,Information Technology
LYB,18,5278380.987,714729.059,LyondellBasell,Materials
MAS,11,68613.279,36440.99600000001,Masco,Industrials
MCHP,3,55233.0,0.0,Microchip Technology,Information Technology
MDLZ,2,64086.0,0.0,Mondelez International,Consumer Staples
MDT,3,13519.92,7173.92,Medtronic,Health Care
MKC,1,0.0,0.0,McCormick & Company,Consumer Staples
MLM,39,300096.701,7.26,Martin Marietta Materials,Materials
MMM,30,878371.029,79573.444,3M,Industrials
MO,6,258253.72,0.0,Altria,Consumer Staples
MOS,4,692678.2,0.0,Mosaic Company (The),Materials
MPC,103,4201277.378,308826.41,Marathon Petroleum,Energy
MRK,4,3993.4,23.8,Merck & Co.,Health Care
MTD,1,0.0,0.0,Mettler Toledo,Health Care
MU,2,38414.1,0.0,Micron Technology,Information Technology
NDSN,1,0.0,0.0,Nordson Corporation,Industrials
NEE,4,351499.11,1.099,NextEra Energy,Utilities
NEM,1,6514.0,0.0,Newmont,Materials
NI,2,680628.123,21938.123,NiSource,Utilities
NOC,8,37022.138,545.618,Northrop Grumman,Industrials
NRG,5,1132207.9,13911.0,NRG Energy,Utilities
NUE,66,8149511.862,119524.648,Nucor,Materials
OKE,12,2320065.353,34537.549,Oneok,Energy
OTIS,1,17.0,0.0,Otis Worldwide,Industrials
OXY,38,1802292.399,290464.444,Occidental Petroleum,Energy
PCAR,2,17.978,0.0,Paccar,Industrials
PCG,1,31432.3,31028.2,PG&E Corporation,Utilities
PEP,18,258179.5,0.0,PepsiCo,Consumer Staples
PFE,2,165425.3,111978.0,Pfizer,Health Care
PG,12,260856.802,70.388,Procter & Gamble,Consumer Staples
PH,41,218539.146,5137.275,Parker Hannifin,Industrials
PKG,9,3971963.747,90781.707,Packaging Corporation of America,Materials
PNR,7,3036.926,2586.0829999999996,Pentair,Industrials
PNW,2,299254.7,37899.2,Pinnacle West Capital,Utilities
POR,1,119421.0,26651.0,,
PPG,26,609047.103,44644.386,PPG Industries,Materials
PPL,4,2158531.697,160432.807,PPL Corporation,Utilities
PSX,67,2179358.639,248725.619,Phillips 66,Energy
PWR,1,2426.924,2120.213,Quanta Services,Industrials
ROK,2,0.01,0.01,Rockwell Automation,Industrials
ROP,1,8170.139999999999,6658.83,Roper Technologies,Information Technology
RSG,18,19229351.908,4315908.223999999,Republic Services,Industrials
RTX,26,98828.402,8062.442,RTX Corporation,Industrials
SEE,3,187088.653,0.653,,
SHW,43,425225.872,47963.682,Sherwin-Williams,Materials
SJM,1,0.0,0.0,J.M. Smucker Company (The),Consumer Staples
SLB,10,70479.408,24982.688,Schlumberger,Energy
SNA,5,58086.573,3332.323,Snap-on,Industrials
SO,11,1357371.337,27417.137,Southern Company,Utilities
SOLV,3,7252.0,2625.0,Solventum,Health Care
