ticker,year,scope1_t,n_facilities,match_confidence,revenue_musd,co2_intensity,company,gics_sector,gics_sub_industry
GS,2020,14344.836000000001,1,1.0,44560.0,0.3219218132854578,Goldman Sachs,Financials,Investment Banking & Brokerage
GS,2021,13324.749600000001,1,1.0,59339.0,0.2245529853890359,Goldman Sachs,Financials,Investment Banking & Brokerage
GS,2022,15861.54,1,1.0,47365.0,0.3348789190330413,Goldman Sachs,Financials,Investment Banking & Brokerage
GS,2023,15642.091199999999,1,1.0,46254.0,0.3381781294590738,Goldman Sachs,Financials,Investment Banking & Brokerage
HAL,2018,75304.032,2,0.9,23995.0,3.138321817045218,Halliburton,Energy,Oil & Gas Equipment & Services
HAL,2019,79441.89600000001,2,1.0,22408.0,3.545247054623349,Halliburton,Energy,Oil & Gas Equipment & Services
HAL,2020,69794.658,2,1.0,14445.0,4.831752024922118,Halliburton,Energy,Oil & Gas Equipment & Services
HAL,2021,63723.246,2,1.0,15295.0,4.166279568486433,Halliburton,Energy,Oil & Gas Equipment & Services
HAL,2022,49752.126,2,1.0,20297.0,2.4512058924964277,Halliburton,Energy,Oil & Gas Equipment & Services
HAL,2023,53414.518,2,1.0,23018.0,2.3205542618820054,Halliburton,Energy,Oil & Gas Equipment & Services
HES,2018,2841641.858549387,14,0.95,,,,,
HES,2019,3578172.1982138027,14,0.95,,,,,
HES,2020,2975325.147806654,14,0.95,,,,,
HES,2021,2283106.6761364792,14,0.95,,,,,
HES,2022,1573090.293670327,13,0.95,,,,,
HES,2023,1458122.26156576,14,0.95,,,,,
HII,2018,57499.79,1,1.0,8176.0,7.032753180039139,Huntington Ingalls Industries,Industrials,Aerospace & Defense
HII,2019,55379.852,1,1.0,8899.0,6.223154511742893,Huntington Ingalls Industries,Industrials,Aerospace & Defense
HII,2020,58398.06,1,1.0,9361.0,6.238442474094648,Huntington Ingalls Industries,Industrials,Aerospace & Defense
HII,2021,83062.38,1,1.0,9524.0,8.72137547249055,Huntington Ingalls Industries,Industrials,Aerospace & Defense
HII,2022,71823.93,1,1.0,10676.0,6.727606781566129,Huntington Ingalls Industries,Industrials,Aerospace & Defense
HII,2023,49706.725999999995,1,1.0,11454.0,4.339682730923695,Huntington Ingalls Industries,Industrials,Aerospace & Defense
HON,2018,867026.5418999998,9,0.9499999999999998,41802.0,20.741269362709915,Honeywell Technologies,Industrials,Industrial Conglomerates
HON,2019,757095.4513000001,10,0.945,36709.0,20.624246133100876,Honeywell Technologies,Industrials,Industrial Conglomerates
HON,2020,723723.2355000001,10,0.945,32637.0,22.174931381560807,Honeywell Technologies,Industrials,Industrial Conglomerates
