ticker,geometrisch,additiv,differenz,company,gics_sector
LNT,28.57142857142857,28.57142857142857,0.0,Alliant Energy,Utilities
LUV,55.55555555555556,55.55555555555556,0.0,Southwest Airlines,Industrials
LYB,45.0,45.0,0.0,LyondellBasell,Materials
MCHP,16.666666666666664,25.0,-8.333333333333336,Microchip Technology,Information Technology
MDLZ,96.875,96.875,0.0,Mondelez International,Consumer Staples
MGM,60.0,80.0,-20.0,MGM Resorts,Consumer Discretionary
MLM,30.0,25.0,5.0,Martin Marietta Materials,Materials
MMM,22.22222222222222,18.51851851851852,3.7037037037037024,3M,Industrials
MO,81.25,81.25,0.0,Altria,Consumer Staples
MOS,80.0,80.0,0.0,Mosaic Company (The),Materials
MPC,87.5,75.0,12.5,Marathon Petroleum,Energy
MRK,61.53846153846154,30.76923076923077,30.76923076923077,Merck & Co.,Health Care
MS,88.46153846153845,92.3076923076923,-3.846153846153854,Morgan Stanley,Financials
MU,66.66666666666666,66.66666666666666,0.0,Micron Technology,Information Technology
NEE,21.428571428571427,21.428571428571427,0.0,NextEra Energy,Utilities
NEM,100.0,100.0,0.0,Newmont,Materials
NI,78.57142857142857,78.57142857142857,0.0,NiSource,Utilities
NOC,48.148148148148145,48.148148148148145,0.0,Northrop Grumman,Industrials
NRG,85.71428571428571,85.71428571428571,0.0,NRG Energy,Utilities
NSC,62.96296296296296,62.96296296296296,0.0,Norfolk Southern,Industrials
NTRS,30.76923076923077,23.076923076923077,7.692307692307693,Northern Trust,Financials
NUE,75.0,75.0,0.0,Nucor,Materials
NWS,87.5,87.5,0.0,News Corp (Class B),Communication Services
NXPI,91.66666666666666,91.66666666666666,0.0,NXP Semiconductors,Information Technology
ODFL,51.85185185185185,29.629629629629626,22.22222222222222,Old Dominion,Industrials
OKE,37.5,31.25,6.25,Oneok,Energy
OXY,31.25,25.0,6.25,Occidental Petroleum,Energy
PCG,75.0,75.0,0.0,PG&E Corporation,Utilities
PEG,96.42857142857143,96.42857142857143,0.0,Public Service Enterprise Group,Utilities
PEP,75.0,75.0,0.0,PepsiCo,Consumer Staples
PFE,69.23076923076923,53.84615384615385,15.38461538461538,Pfizer,Health Care
PG,62.5,62.5,0.0,Procter & Gamble,Consumer Staples
PKG,50.0,55.00000000000001,-5.000000000000007,Packaging Corporation of America,Materials
PNW,50.0,46.42857142857143,3.5714285714285694,Pinnacle West Capital,Utilities
PPG,10.0,10.0,0.0,PPG Industries,Materials
PPL,3.571428571428571,3.571428571428571,0.0,PPL Corporation,Utilities
PSX,50.0,43.75,6.25,Phillips 66,Energy
QCOM,83.33333333333334,83.33333333333334,0.0,Qualcomm,Information Technology
RSG,7.4074074074074066,3.7037037037037033,3.7037037037037033,Republic Services,Industrials
RTX,29.629629629629626,33.33333333333333,-3.7037037037037024,RTX Corporation,Industrials
SJM,68.75,68.75,0.0,J.M. Smucker Company (The),Consumer Staples
SO,32.142857142857146,32.142857142857146,0.0,Southern Company,Utilities
SRE,89.28571428571429,89.28571428571429,0.0,Sempra,Utilities
STLD,25.0,35.0,-10.0,Steel Dynamics,Materials
SW,55.00000000000001,50.0,5.000000000000007,Smurfit Westrock,Materials
SWKS,75.0,75.0,0.0,Skyworks Solutions,Information Technology
T,87.5,87.5,0.0,AT&T,Communication Services
TAP,6.25,6.25,0.0,Molson Coors Beverage Company,Consumer Staples
TGT,96.875,96.875,0.0,Target Corporation,Consumer Staples
TMO,53.84615384615385,61.53846153846154,-7.692307692307693,Thermo Fisher Scientific,Health Care
TRGP,25.0,12.5,12.5,Targa Resources,Energy
TSLA,20.0,20.0,0.0,"Tesla, Inc.",Consumer Discretionary
TSN,37.5,37.5,0.0,Tyson Foods,Consumer Staples
TT,92.5925925925926,92.5925925925926,0.0,Trane Technologies,Industrials
TXN,25.0,16.666666666666664,8.333333333333336,Texas Instruments,Information Technology
TXT,14.814814814814813,14.814814814814813,0.0,Textron,Industrials
VLO,56.25,56.25,0.0,Valero Energy,Energy
VST,7.142857142857142,7.142857142857142,0.0,Vistra Corp.,Utilities
VTRS,38.46153846153847,46.15384615384615,-7.692307692307686,Viatris,Health Care
WAB,77.77777777777779,77.77777777777779,0.0,Wabtec,Industrials
WEC,53.57142857142857,53.57142857142857,0.0,WEC Energy Group,Utilities
WFC,69.23076923076923,69.23076923076923,0.0,Wells Fargo,Financials
WM,11.11111111111111,7.4074074074074066,3.703703703703704,Waste Management,Industrials
WMB,18.75,18.75,0.0,Williams Companies,Energy
WY,33.33333333333333,33.33333333333333,0.0,Weyerhaeuser,Real Estate
