ticker,p10,p50,p90,band_width,share_top_quintile,share_bottom_quintile,company,gics_sector,gics_sub_industry,match_confidence
MU,44.44444444444444,70.0,90.0,45.55555555555556,29.2,1.4000000000000001,Micron Technology,Information Technology,Semiconductors,1.0
LLY,10.0,70.0,100.0,90.0,39.266666666666666,27.400000000000002,Lilly (Eli),Health Care,Pharmaceuticals,0.9416666666666668
MRK,40.0,70.0,90.0,50.0,34.93333333333333,4.6,Merck & Co.,Health Care,Pharmaceuticals,0.9972222222222222
ED,48.148148148148145,70.0,70.37037037037037,22.22222222222222,6.266666666666667,0.0,Consolidated Edison,Utilities,Multi-Utilities,1.0
PG,46.15384615384615,69.23076923076923,84.61538461538461,38.46153846153846,11.133333333333335,0.13333333333333333,Procter & Gamble,Consumer Staples,Personal Care Products,1.0
TAP,23.076923076923077,69.23076923076923,100.0,76.92307692307692,35.13333333333333,6.066666666666666,Molson Coors Beverage Company,Consumer Staples,Brewers,0.9833333333333334
NUE,61.111111111111114,66.66666666666666,77.77777777777779,16.66666666666667,1.7999999999999998,0.0,Nucor,Materials,Steel,1.0
NOC,44.44444444444444,66.66666666666666,87.5,43.05555555555556,27.46666666666667,1.0,Northrop Grumman,Industrials,Aerospace & Defense,1.0
PPL,11.11111111111111,64.28571428571429,78.57142857142857,67.46031746031746,6.0,20.533333333333335,PPL Corporation,Utilities,Electric Utilities,1.0
WEC,51.85185185185185,64.28571428571429,71.42857142857143,19.576719576719583,0.0,0.0,WEC Energy Group,Utilities,Electric Utilities,1.0
TSN,30.76923076923077,61.53846153846154,76.92307692307693,46.15384615384616,4.3999999999999995,0.6,Tyson Foods,Consumer Staples,Packaged Foods & Meats,1.0
STLD,44.44444444444444,61.111111111111114,66.66666666666666,22.222222222222214,0.0,0.13333333333333333,Steel Dynamics,Materials,Steel,1.0
NEE,40.0,60.0,88.88888888888889,48.888888888888886,25.466666666666665,0.4,NextEra Energy,Utilities,Multi-Utilities,0.9948717948717949
AEP,42.857142857142854,58.333333333333336,71.42857142857143,28.571428571428577,0.0,0.0,American Electric Power,Utilities,Electric Utilities,0.9982724313513153
GS,57.14285714285714,57.14285714285714,71.42857142857143,14.285714285714292,7.933333333333334,0.0,Goldman Sachs,Financials,Investment Banking & Brokerage,1.0
EOG,42.857142857142854,57.14285714285714,71.42857142857143,28.571428571428577,6.066666666666666,0.0,EOG Resources,Energy,Oil & Gas Exploration & Production,0.9995421245421245
VLO,43.75,56.25,68.75,25.0,1.6,0.06666666666666667,Valero Energy,Energy,Oil & Gas Refining & Marketing,1.0
HWM,27.77777777777778,55.55555555555556,77.77777777777779,50.00000000000001,8.533333333333333,3.733333333333334,Howmet Aerospace,Industrials,Aerospace & Defense,1.0
LIN,44.44444444444444,55.55555555555556,61.111111111111114,16.66666666666667,0.0,0.0,Linde plc,Materials,Industrial Gases,0.9709602420402859
