ticker,anlagen,strafen_usd,inspektionen,verstossquartale,schwere_verstoesse,verstossquartale_je_anlage,company,gics_sector
LYB,11,13714812,51,80,3,7.2727272727272725,LyondellBasell,Materials
MCHP,4,30541,4,2,0,0.5,Microchip Technology,Information Technology
MDLZ,1,0,2,0,0,0.0,Mondelez International,Consumer Staples
MGM,1,0,0,0,0,0.0,MGM Resorts,Consumer Discretionary
MLM,6,4000,46,17,0,2.8333333333333335,Martin Marietta Materials,Materials
MMM,10,3612284,54,53,4,5.3,3M,Industrials
MO,2,0,5,1,0,0.5,Altria,Consumer Staples
MOS,9,20730,22,27,1,3.0,Mosaic Company (The),Materials
MPC,87,36713620,322,250,16,2.8735632183908044,Marathon Petroleum,Energy
MRK,4,16400,52,22,0,5.5,Merck & Co.,Health Care
MS,3,0,0,0,0,0.0,Morgan Stanley,Financials
MU,3,157101,6,4,0,1.3333333333333333,Micron Technology,Information Technology
NEE,28,8710,93,37,1,1.3214285714285714,NextEra Energy,Utilities
NEM,2,0,8,1,0,0.5,Newmont,Materials
NI,10,7450,21,27,1,2.7,NiSource,Utilities
NOC,4,44000,123,54,3,13.5,Northrop Grumman,Industrials
NRG,48,287613,125,69,2,1.4375,NRG Energy,Utilities
NSC,1,598000,6,3,0,3.0,Norfolk Southern,Industrials
NUE,25,290599,170,140,2,5.6,Nucor,Materials
NXPI,3,0,3,0,0,0.0,NXP Semiconductors,Information Technology
OKE,43,1233823,35,30,0,0.6976744186046512,Oneok,Energy
OXY,69,972591,118,44,2,0.6376811594202898,Occidental Petroleum,Energy
PCG,11,20000,34,0,0,0.0,PG&E Corporation,Utilities
PEG,15,57976,31,51,1,3.4,Public Service Enterprise Group,Utilities
PEP,11,60713,38,30,1,2.727272727272727,PepsiCo,Consumer Staples
PFE,5,119696,18,18,0,3.6,Pfizer,Health Care
PG,10,49426,89,63,0,6.3,Procter & Gamble,Consumer Staples
PKG,9,2510230,40,24,1,2.6666666666666665,Packaging Corporation of America,Materials
PNW,8,2319,23,5,0,0.625,Pinnacle West Capital,Utilities
POR,8,0,4,11,0,1.375,,
PPG,3,803060,23,21,1,7.0,PPG Industries,Materials
PPL,10,750000,29,4,0,0.4,PPL Corporation,Utilities
PSX,58,37928973,209,172,10,2.9655172413793105,Phillips 66,Energy
QCOM,2,0,0,0,0,0.0,Qualcomm,Information Technology
RSG,184,810092,403,390,10,2.119565217391304,Republic Services,Industrials
RTX,3,16250,44,8,0,2.6666666666666665,RTX Corporation,Industrials
SO,49,40975,330,100,2,2.0408163265306123,Southern Company,Utilities
SRE,16,0,75,24,3,1.5,Sempra,Utilities
STLD,10,39200,40,44,1,4.4,Steel Dynamics,Materials
SW,34,188754,131,114,1,3.3529411764705883,Smurfit Westrock,Materials
SWKS,2,0,3,11,0,5.5,Skyworks Solutions,Information Technology
T,1,0,1,0,0,0.0,AT&T,Communication Services
TAP,6,326464,29,30,1,5.0,Molson Coors Beverage Company,Consumer Staples
TGT,1,2700,3,0,0,0.0,Target Corporation,Consumer Staples
TMO,1,6514,12,1,0,1.0,Thermo Fisher Scientific,Health Care
TRGP,49,286225,54,20,0,0.40816326530612246,Targa Resources,Energy
TSLA,1,550000,14,24,2,24.0,"Tesla, Inc.",Consumer Discretionary
TSN,35,608091,86,66,0,1.8857142857142857,Tyson Foods,Consumer Staples
TXN,5,1800,2,1,0,0.2,Texas Instruments,Information Technology
TXT,2,81028,11,21,0,10.5,Textron,Industrials
VLO,28,5371248,218,153,4,5.464285714285714,Valero Energy,Energy
VST,87,243700,260,235,4,2.7011494252873565,Vistra Corp.,Utilities
VTRS,1,0,0,0,0,0.0,Viatris,Health Care
WEC,23,0,58,90,2,3.9130434782608696,WEC Energy Group,Utilities
WHR,2,0,6,0,0,0.0,,
WM,214,523446,468,304,3,1.4205607476635513,Waste Management,Industrials
WMB,108,8569319,246,40,1,0.37037037037037035,Williams Companies,Energy
WY,2,10000,11,24,1,12.0,Weyerhaeuser,Real Estate
XEL,41,2868600,157,164,2,4.0,Xcel Energy,Utilities
XOM,77,8401708,259,184,11,2.3896103896103895,ExxonMobil,Energy
