ticker,company,gics_sector,intensity_cagr,absolute_cagr,intensity_illusion,illusion_gap,base_year_ratio,match_confidence,years_observed,base_year_flag,flags
LIN,Linde plc,Materials,-0.11398905681640836,0.010429874224534785,True,0.12441893104094315,1.1336037058008557,0.9709602420402859,6,True,2
TSLA,"Tesla, Inc.",Consumer Discretionary,-0.07804641727428407,0.28644543733270655,True,0.36449185460699063,0.6441489046858861,0.9833333333333334,6,False,1
FANG,Diamondback Energy,Energy,-0.20464214815797666,0.0725396419563229,True,0.27718179011429955,0.5549807042477064,0.975,6,False,1
NRG,NRG Energy,Utilities,-0.3320535230082394,-0.07337560636899687,False,0.25867791663924256,1.2322135339984213,1.0,6,True,1
TRGP,Targa Resources,Energy,-0.10901570629864532,0.04710678997052242,True,0.15612249626916774,0.8634195753143752,1.0,6,False,1
STLD,Steel Dynamics,Materials,-0.11415407650464893,0.02913431962203572,True,0.14328839612668465,0.9960161838478424,1.0,6,False,1
CF,CF Industries,Materials,-0.13036541505671018,0.007519260028531871,True,0.13788467508524205,0.9662046441101473,1.0,6,False,1
BMY,Bristol Myers Squibb,Health Care,-0.1491314382107365,-0.011566885633515378,False,0.1375645525772211,1.2120959382269552,1.0,6,True,1
OKE,Oneok,Energy,-0.10134498206255604,0.028545882242109633,True,0.12989086430466568,0.8814312656557377,0.9990119928761415,6,False,1
OXY,Occidental Petroleum,Energy,-0.042056179697061324,0.0839709999756717,True,0.12602717967273303,0.5503671973868297,0.9895271234701596,6,False,1
WMB,Williams Companies,Energy,-0.1164482546082315,0.005279832689234265,True,0.12172808729746576,0.9897509995063486,0.9003922111480253,6,False,1
MOS,Mosaic Company (The),Materials,-0.12077535986881016,-0.002165627356096378,False,0.11860973251271378,1.1569391674357223,1.0,6,True,1
COP,ConocoPhillips,Energy,-0.09406986560392805,0.022863983106158114,True,0.11693384871008616,0.8808481036642297,1.0,6,False,1
ABBV,AbbVie,Health Care,-0.19774515511027124,-0.090164541119795,False,0.10758061399047625,1.20472188881853,1.0,6,True,1
TMO,Thermo Fisher Scientific,Health Care,-0.06079670329224729,0.037134100410185056,True,0.09793080370243235,0.9306966743793853,1.0,4,False,1
MCHP,Microchip Technology,Information Technology,-0.09391396834961319,-0.0010542761139447077,False,0.09285969223566848,1.2200175186631232,1.0,6,True,1
PSX,Phillips 66,Energy,-0.0859169221375613,0.005345662061730039,True,0.09126258419929134,1.0196970343423248,1.0,6,False,1
DE,Deere & Company,Industrials,-0.16384808042842824,-0.07425461263345356,False,0.08959346779497468,1.115758242075123,1.0,6,True,1
MRK,Merck & Co.,Health Care,-0.09974770812734113,-0.01455344906426792,False,0.08519425906307321,1.105728458785299,0.9972222222222222,6,True,1
ES,Eversource Energy,Utilities,-0.019988713722312368,0.0651682858604421,True,0.08515699958275447,0.7634566951687911,1.0,6,False,1
APD,Air Products,Materials,-0.05901493004536551,0.023281527677364577,True,0.08229645772273009,0.9936523248562553,0.9499999999999998,6,False,1
RSG,Republic Services,Industrials,-0.06489623297189795,0.016349419211107774,True,0.08124565218300572,0.9623828497659674,1.0,6,False,1
HWM,Howmet Aerospace,Industrials,-0.06794183686459432,0.012684193102190822,True,0.08062602996678514,1.0174382537701623,1.0,4,False,1
VST,Vistra Corp.,Utilities,-0.13374207565962237,-0.053183211600809965,False,0.08055886405881241,1.2264141534107988,0.9825874866233394,6,True,1
AVGO,Broadcom,Information Technology,-0.34275830562620135,-0.26319371791033097,False,0.07956458771587038,1.3006637381223383,1.0,6,True,1
SWKS,Skyworks Solutions,Information Technology,-0.1355262170729531,-0.06013697749404301,False,0.07538923957891008,1.167355967966684,1.0,6,True,1
FCX,Freeport-McMoRan,Materials,-0.11311113175010712,-0.03830652543508006,False,0.07480460631502706,1.348959520835286,0.987037037037037,6,True,1
ATO,Atmos Energy,Utilities,-0.13157772590149197,-0.057054901917052314,False,0.07452282398443966,1.157144041113906,1.0,6,True,1
NEM,Newmont,Materials,-0.20418037686647517,-0.1303702069980358,False,0.07381016986843936,1.6587911324222184,1.0,6,True,1
ABT,Abbott Laboratories,Health Care,-0.02573616780091814,0.0468805621533106,True,0.07261672995422874,0.9187441275401331,1.0,6,False,1
MLM,Martin Marietta Materials,Materials,-0.040730480637919064,0.031103219398775916,True,0.07183370003669498,0.9480687638068073,1.0,6,False,1
DIS,Walt Disney Company (The),Communication Services,-0.06033933617191756,0.01101087359037356,True,0.07135020976229112,1.0071947062579532,1.0,6,False,1
EIX,Edison International,Utilities,-0.026521912843126216,0.04160919200516844,True,0.06813110484829465,0.7349135253140685,0.9972222222222222,6,False,1
HII,Huntington Ingalls Industries,Industrials,-0.05134928289080942,0.0116129010514896,True,0.06296218394229902,0.9922494679582062,1.0,6,False,1
RTX,RTX Corporation,Industrials,-0.047448817512139696,0.014733100386569609,True,0.062181917898709305,0.9500460068452975,0.9187500000000001,4,False,1
HRL,Hormel Foods,Consumer Staples,-0.038398944123000045,0.02321606024775047,True,0.061615004370750515,0.8463425327826605,1.0,6,False,1
MGM,MGM Resorts,Consumer Discretionary,-0.09726442489396725,-0.03676339163997966,False,0.06050103325398759,1.149679689108028,1.0,6,True,1
TSN,Tyson Foods,Consumer Staples,-0.05747824588007011,0.0025217737079579194,True,0.06000001958802803,0.9925414211304645,1.0,6,False,1
CTVA,Corteva,Materials,-0.13236615628492554,-0.07483393129263205,False,0.05753222499229349,1.256430233061952,1.0,5,True,1
KMI,Kinder Morgan,Energy,-0.03446309170350914,0.016772873416326606,True,0.05123596511983575,0.8858299564123828,0.9997361022136806,6,False,1
WY,Weyerhaeuser,Real Estate,-0.026274006504215408,0.02383287942071788,True,0.050106885924933287,0.9949412337530525,1.0,6,False,1
AEE,Ameren,Utilities,-0.1007456003955457,-0.05140196908468908,False,0.04934363131085662,1.1632464712886574,1.0,6,True,1
TXN,Texas Instruments,Information Technology,-0.03908476953091622,0.010255905203522264,True,0.04934067473443848,1.0272230182315747,1.0,6,False,1
AEP,American Electric Power,Utilities,-0.0989123369199516,-0.05418638675475296,False,0.04472595016519865,1.1235188506080638,0.9982724313513153,6,True,1
WEC,WEC Energy Group,Utilities,-0.09072562855854438,-0.04812831828982633,False,0.04259731026871805,1.2713726815252935,1.0,6,True,1
NOC,Northrop Grumman,Industrials,-0.05802808679826277,-0.0157375408522219,False,0.04229054594604087,1.1541651649825282,1.0,6,True,1
CMS,CMS Energy,Utilities,-0.02986829559775417,0.011560975348475111,True,0.04142927094622928,0.9797693590516819,1.0,6,False,1
CAT,Caterpillar Inc.,Industrials,-0.10375885915588368,-0.06412216491219414,False,0.03963669424368954,1.3475281919778492,1.0,6,True,1
DUK,Duke Energy,Utilities,-0.08679189575214696,-0.04726750917259537,False,0.039524386579551596,1.2436102728567315,1.0,6,True,1
SO,Southern Company,Utilities,-0.07572566499605682,-0.03732756482817434,False,0.038398100167882476,1.1954757084304215,1.0,6,True,1
ETR,Entergy,Utilities,-0.026351186278962935,0.011850263342419343,True,0.03820144962138228,1.0107889795299305,0.9963014773216979,6,False,1
GM,General Motors,Consumer Discretionary,-0.07857243610977382,-0.04171544246858738,False,0.03685699364118644,1.2222411663047208,1.0,6,True,1
GIS,General Mills,Consumer Staples,-0.02350115392972052,0.0121860956914015,True,0.03568724962112202,0.9515100487925131,1.0,6,False,1
LNT,Alliant Energy,Utilities,-0.06272654526541865,-0.0313997692900172,False,0.031326775975401455,1.2429999887353826,1.0,6,True,1
FE,FirstEnergy,Utilities,-0.17098656634592335,-0.14021697597414307,False,0.030769590371780287,2.0264964911442798,0.9916666666666667,6,True,1
LYB,LyondellBasell,Materials,-0.024126655732756186,0.0058087769306702786,True,0.029935432663426464,0.943363656087172,0.9916887709991157,6,False,1
BG,Bunge Global,Consumer Staples,-0.023492834322731526,0.0014791058146270686,True,0.024971940137358595,0.9786816940647445,0.9,6,False,1
DOW,Dow Inc.,Materials,-0.0025313132006750116,0.01673516741637915,True,0.01926648061705416,0.8976933308658687,0.9916666666666666,6,False,1
NI,NiSource,Utilities,-0.174087682057251,-0.15540979309230674,False,0.018677888964944267,1.6787247750387173,1.0,6,True,1
F,Ford Motor Company,Consumer Discretionary,-0.06492242247290914,-0.04923026156137045,False,0.01569216091153869,1.251794217336959,1.0,6,True,1
PEG,Public Service Enterprise Group,Utilities,-0.5241316497603945,-0.5149831145630075,False,0.009148535197387009,1.425479170274111,1.0,6,True,1
KHC,Kraft Heinz,Consumer Staples,-0.11253053534427215,-0.11063742998046378,False,0.0018931053638083783,1.4372847824261141,1.0,4,True,1
MO,Altria,Consumer Staples,-0.05707486297582387,-0.06201358349856456,False,-0.004938720522740692,1.219142310560966,1.0,6,True,1
HAL,Halliburton,Energy,-0.0759516173352669,-0.08769107921349495,False,-0.011739461878228052,1.127999013525557,0.9833333333333334,6,True,1
WFC,Wells Fargo,Financials,-0.5746913355820216,-0.5888749978623871,False,-0.014183662280365494,1.723297030715195,1.0,4,True,1
HON,Honeywell Technologies,Industrials,-0.09955745427026108,-0.13069633042602324,False,-0.031138876155762163,1.2062821936334696,0.9447916666666666,6,True,1
MU,Micron Technology,Information Technology,-0.08399978982201195,-0.14170939646771952,False,-0.05770960664570757,1.227679394615778,1.0,6,True,1
NSC,Norfolk Southern,Industrials,-0.03915770820330022,-0.11188978416880435,False,-0.07273207596550413,1.10033358994098,0.9499999999999998,3,True,1
L,Loews Corporation,Financials,0.03739160738611269,-0.09263676086359263,False,-0.13002836824970532,1.2036944623131727,1.0,6,True,1
GE,GE Aerospace,Industrials,0.05274398931047308,-0.1918076708440819,False,-0.24455166015455498,1.675586985396967,0.9500000000000001,6,True,1
IFF,International Flavors & Fragrances,Materials,0.33510389692604003,0.7158065276822487,False,0.3807026307562087,0.2518576924450658,1.0,6,False,0
ARES,Ares Management,Financials,0.22691777605821772,0.4973653757496348,False,0.2704475996914171,0.2957067046673847,1.0,5,False,0
ADI,Analog Devices,Information Technology,0.08035200834291056,0.2736899229452445,False,0.19333791460233396,0.5620935578506383,1.0,6,False,0
ALB,Albemarle Corporation,Materials,-0.1986363709552753,-0.008959094615475727,False,0.18967727633979958,1.00729394994143,1.0,6,False,0
DVN,Devon Energy,Energy,-0.22702016921699175,-0.04862069875445352,False,0.17839947046253823,1.0775741598523396,0.9955682684973303,6,False,0
