ticker,p10,p50,p90,band_width,share_top_quintile,share_bottom_quintile,company,gics_sector,gics_sub_industry,match_confidence
PFE,36.36363636363637,72.72727272727273,90.9090909090909,54.54545454545454,39.733333333333334,2.533333333333333,Pfizer,Health Care,Pharmaceuticals,1.0
BMY,45.45454545454545,72.72727272727273,90.9090909090909,45.45454545454545,49.4,2.2666666666666666,Bristol Myers Squibb,Health Care,Pharmaceuticals,1.0
LLY,36.36363636363637,72.72727272727273,100.0,63.63636363636363,47.0,4.6,Lilly (Eli),Health Care,Pharmaceuticals,0.9416666666666668
EXE,42.857142857142854,71.42857142857143,93.75,50.892857142857146,30.733333333333334,0.8,Expand Energy,Energy,Oil & Gas Exploration & Production,0.9500000000000001
DE,50.0,70.83333333333334,91.66666666666666,41.66666666666666,31.6,0.06666666666666667,Deere & Company,Industrials,Agricultural & Farm Machinery,1.0
SWKS,44.44444444444444,66.66666666666666,88.88888888888889,44.44444444444444,25.933333333333337,0.8,Skyworks Solutions,Information Technology,Semiconductors,1.0
EIX,28.57142857142857,66.66666666666666,80.0,51.42857142857143,10.666666666666668,1.6,Edison International,Utilities,Electric Utilities,0.9990740740740741
GLW,33.33333333333333,66.66666666666666,100.0,66.66666666666667,39.46666666666667,4.533333333333333,Corning Inc.,Information Technology,Electronic Components,0.9454545454545454
MU,41.66666666666667,66.66666666666666,83.33333333333334,41.66666666666667,18.866666666666667,2.1999999999999997,Micron Technology,Information Technology,Semiconductors,1.0
T,33.33333333333333,66.66666666666666,100.0,66.66666666666667,37.666666666666664,0.0,AT&T,Communication Services,Integrated Telecommunication Services,1.0
PG,44.44444444444444,66.66666666666666,88.88888888888889,44.44444444444444,21.066666666666666,0.46666666666666673,Procter & Gamble,Consumer Staples,Personal Care Products,1.0
HON,43.75,66.66666666666666,91.66666666666666,47.91666666666666,27.133333333333333,0.2,Honeywell Technologies,Industrials,Industrial Conglomerates,0.9458333333333333
ES,21.428571428571427,64.28571428571429,78.57142857142857,57.14285714285714,9.133333333333333,7.866666666666666,Eversource Energy,Utilities,Electric Utilities,1.0
MRK,36.36363636363637,63.63636363636363,90.9090909090909,54.54545454545454,27.800000000000004,3.8666666666666667,Merck & Co.,Health Care,Pharmaceuticals,0.9983333333333334
STLD,47.368421052631575,63.1578947368421,73.68421052631578,26.315789473684205,0.9333333333333335,0.13333333333333333,Steel Dynamics,Materials,Steel,1.0
CAT,37.5,62.5,83.33333333333334,45.83333333333334,13.8,0.0,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1.0
GS,62.5,62.5,75.0,12.5,9.0,0.0,Goldman Sachs,Financials,Investment Banking & Brokerage,1.0
AZO,20.0,60.0,100.0,80.0,44.2,23.333333333333332,AutoZone,Consumer Discretionary,Automotive Retail,1.0
F,20.0,60.0,100.0,80.0,26.666666666666668,15.4,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1.0
GM,40.0,60.0,100.0,60.0,43.0,9.4,General Motors,Consumer Discretionary,Automobile Manufacturers,1.0
WEC,53.57142857142857,60.0,73.33333333333333,19.76190476190476,0.0,0.0,WEC Energy Group,Utilities,Electric Utilities,1.0
AAPL,25.0,58.333333333333336,100.0,75.0,15.4,6.466666666666667,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.9
NOC,37.5,58.333333333333336,87.5,50.0,24.133333333333333,1.1333333333333333,Northrop Grumman,Industrials,Aerospace & Defense,1.0
LIN,42.10526315789473,57.89473684210527,63.1578947368421,21.05263157894737,0.13333333333333333,0.06666666666666667,Linde plc,Materials,Industrial Gases,0.9639364976602608
SRE,21.428571428571427,57.14285714285714,70.0,48.57142857142857,1.7999999999999998,8.0,Sempra,Utilities,Multi-Utilities,0.8567674291938999
EOG,37.5,57.14285714285714,71.42857142857143,33.92857142857143,6.0,1.2,EOG Resources,Energy,Oil & Gas Exploration & Production,0.9958920353151122
VLO,37.5,56.25,75.0,37.5,3.733333333333334,0.6666666666666667,Valero Energy,Energy,Oil & Gas Refining & Marketing,1.0
NSC,37.5,56.25,77.77777777777779,40.277777777777786,7.8,0.26666666666666666,Norfolk Southern,Industrials,Rail Transportation,0.9500000000000001
BG,26.666666666666668,55.55555555555556,86.66666666666667,60.0,15.066666666666666,4.8,Bunge Global,Consumer Staples,Agricultural Products & Services,0.9090909090909091
BAX,9.090909090909092,54.54545454545454,100.0,90.9090909090909,35.6,27.866666666666667,Baxter International,Health Care,Health Care Equipment,0.9166666666666666
AEP,39.285714285714285,53.333333333333336,66.66666666666666,27.380952380952372,0.0,0.0,American Electric Power,Utilities,Electric Utilities,0.9986832733543262
TSN,26.666666666666668,53.333333333333336,80.33333333333378,53.66666666666711,17.533333333333335,8.200000000000001,Tyson Foods,Consumer Staples,Packaged Foods & Meats,1.0
SJM,20.0,53.333333333333336,83.33333333333334,63.33333333333334,19.6,10.866666666666665,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,0.9523809523809522
PKG,42.10526315789473,52.63157894736842,63.1578947368421,21.05263157894737,0.06666666666666667,0.0,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,1.0
BRK-B,50.0,50.0,71.42857142857143,21.42857142857143,3.933333333333333,0.0,Berkshire Hathaway,Financials,Multi-Sector Holdings,0.9958174161749448
GIS,16.666666666666664,50.0,73.33333333333333,56.666666666666664,9.733333333333333,14.799999999999999,General Mills,Consumer Staples,Packaged Foods & Meats,1.0
GE,18.75,50.0,87.5,68.75,12.933333333333334,10.133333333333333,GE Aerospace,Industrials,Aerospace & Defense,0.9500000000000001
DUK,39.285714285714285,50.0,64.28571428571429,25.000000000000007,0.0,0.0,Duke Energy,Utilities,Electric Utilities,1.0
PNW,42.857142857142854,50.0,70.0,27.142857142857146,2.6,0.0,Pinnacle West Capital,Utilities,Multi-Utilities,0.9969696969696971
HRL,16.666666666666664,50.0,80.0,63.333333333333336,11.133333333333335,12.333333333333334,Hormel Foods,Consumer Staples,Packaged Foods & Meats,1.0
PSX,33.33333333333333,50.0,66.66666666666666,33.33333333333333,1.2666666666666666,1.4000000000000001,Phillips 66,Energy,Oil & Gas Refining & Marketing,1.0
AES,33.33333333333333,50.0,67.85714285714286,34.52380952380953,0.0,0.0,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1.0
SW,31.57894736842105,47.368421052631575,63.1578947368421,31.57894736842105,3.8,3.4666666666666663,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,0.9485978835978836
D,35.714285714285715,46.42857142857143,60.0,24.285714285714285,0.0,0.2,Dominion Energy,Utilities,Multi-Utilities,1.0
HII,25.0,45.83333333333333,75.0,50.0,9.0,5.0,Huntington Ingalls Industries,Industrials,Aerospace & Defense,1.0
HWM,25.0,45.83333333333333,75.0,50.0,9.0,6.0,Howmet Aerospace,Industrials,Aerospace & Defense,1.0
VTRS,27.27272727272727,45.45454545454545,72.72727272727273,45.45454545454547,7.066666666666667,9.666666666666666,Viatris,Health Care,Pharmaceuticals,1.0
TMO,18.181818181818183,45.45454545454545,72.72727272727273,54.54545454545455,5.733333333333333,11.4,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,1.0
OKE,31.25,44.44444444444444,66.66666666666666,35.41666666666666,1.3333333333333335,2.4,Oneok,Energy,Oil & Gas Storage & Transportation,0.9970818460292145
KMB,26.666666666666668,44.44444444444444,66.66666666666666,39.999999999999986,2.466666666666667,5.6000000000000005,Kimberly-Clark,Consumer Staples,Household Products,1.0
COP,28.57142857142857,43.75,68.75,40.17857142857143,2.1999999999999997,5.466666666666667,ConocoPhillips,Energy,Oil & Gas Exploration & Production,0.999054909862311
LYB,31.57894736842105,42.10526315789473,52.63157894736842,21.052631578947366,0.0,1.6,LyondellBasell,Materials,Specialty Chemicals,0.9810399562123698
SO,28.57142857142857,40.0,53.333333333333336,24.761904761904766,0.0,0.2,Southern Company,Utilities,Electric Utilities,1.0
TSLA,20.0,40.0,60.0,40.0,8.4,38.13333333333333,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,0.9833333333333334
AEE,20.0,40.0,70.0,50.0,5.4,13.266666666666666,Ameren,Utilities,Multi-Utilities,1.0
RTX,16.666666666666664,37.5,75.0,58.333333333333336,8.6,13.866666666666665,RTX Corporation,Industrials,Aerospace & Defense,0.9187500000000001
KKR,25.0,37.5,37.5,12.5,0.0,0.33333333333333337,KKR & Co.,Financials,Asset Management & Custody Banks,1.0
DAL,25.0,37.5,56.25,31.25,0.8,1.6666666666666667,Delta Air Lines,Industrials,Passenger Airlines,1.0
IP,26.31578947368421,36.84210526315789,47.368421052631575,21.052631578947366,0.0,4.6,International Paper,Materials,Paper & Plastic Packaging Products & Materials,1.0
ABT,18.181818181818183,36.36363636363637,63.63636363636363,45.45454545454545,2.1333333333333333,18.8,Abbott Laboratories,Health Care,Health Care Equipment,1.0
TXN,11.11111111111111,33.33333333333333,50.0,38.888888888888886,0.2,23.0,Texas Instruments,Information Technology,Semiconductors,1.0
INTC,22.22222222222222,33.33333333333333,66.66666666666666,44.444444444444436,1.7999999999999998,9.333333333333334,Intel,Information Technology,Semiconductors,0.9830853174603175
HPQ,16.666666666666664,33.33333333333333,66.66666666666666,49.99999999999999,6.0,11.466666666666667,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.9
MCHP,16.666666666666664,33.33333333333333,58.333333333333336,41.66666666666667,0.8,13.200000000000001,Microchip Technology,Information Technology,Semiconductors,1.0
DIS,33.33333333333333,33.33333333333333,66.66666666666666,33.33333333333333,1.6,0.0,Walt Disney Company (The),Communication Services,Movies & Entertainment,1.0
BF-B,20.0,33.33333333333333,55.55555555555556,35.55555555555556,0.26666666666666666,26.6,Brown–Forman,Consumer Staples,Distillers & Vintners,1.0
BA,16.666666666666664,33.33333333333333,66.66666666666666,49.99999999999999,3.266666666666666,12.466666666666667,Boeing,Industrials,Aerospace & Defense,1.0
LNT,20.0,32.142857142857146,40.0,20.0,0.0,10.333333333333334,Alliant Energy,Utilities,Electric Utilities,1.0
CMS,25.0,32.142857142857146,40.0,15.0,0.0,5.533333333333333,CMS Energy,Utilities,Multi-Utilities,1.0
DOW,15.789473684210526,31.57894736842105,37.36842105263229,21.578947368421765,0.0,12.666666666666668,Dow Inc.,Materials,Commodity Chemicals,0.9894956140350878
FANG,18.75,28.57142857142857,62.5,43.75,6.066666666666666,19.6,Diamondback Energy,Energy,Oil & Gas Exploration & Production,0.9583333333333334
BIIB,18.181818181818183,27.27272727272727,63.63636363636363,45.45454545454545,2.466666666666667,27.6,Biogen,Health Care,Biotechnology,0.9833333333333334
MLM,10.526315789473683,26.31578947368421,31.57894736842105,21.05263157894737,0.0,24.266666666666666,Martin Marietta Materials,Materials,Construction Materials,1.0
MMM,18.75,25.0,41.66666666666667,22.91666666666667,0.13333333333333333,15.4,3M,Industrials,Industrial Conglomerates,1.0
ETR,17.857142857142858,25.0,33.33333333333333,15.476190476190471,0.0,27.133333333333333,Entergy,Utilities,Electric Utilities,0.9963047117685483
WMB,12.5,25.0,55.55555555555556,43.05555555555556,1.4000000000000001,33.86666666666667,Williams Companies,Energy,Oil & Gas Storage & Transportation,0.9483967667160565
L,12.5,25.0,42.857142857142854,30.357142857142854,0.0,17.2,Loews Corporation,Financials,Multi-line Insurance,1.0
TRGP,12.5,22.22222222222222,33.33333333333333,20.83333333333333,0.0,34.13333333333333,Targa Resources,Energy,Oil & Gas Storage & Transportation,1.0
APD,5.263157894736842,21.052631578947366,26.31578947368421,21.052631578947366,0.0,37.46666666666666,Air Products,Materials,Industrial Gases,0.9500000000000001
TXT,12.5,20.833333333333336,45.83333333333333,33.33333333333333,0.4,48.66666666666667,Textron,Industrials,Aerospace & Defense,1.0
ADM,6.666666666666667,20.0,33.33333333333333,26.66666666666666,0.0,52.33333333333333,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,1.0
WM,8.333333333333332,18.75,43.75,35.41666666666667,0.06666666666666667,72.86666666666667,Waste Management,Industrials,Environmental & Facilities Services,1.0
OXY,14.285714285714285,18.75,42.857142857142854,28.57142857142857,0.2,54.266666666666666,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,0.9749429332923789
NEE,10.0,17.857142857142858,30.0,20.0,0.0,74.6,NextEra Energy,Utilities,Multi-Utilities,0.9897899159663864
CF,5.263157894736842,15.789473684210526,53.15789473684282,47.89473684210598,0.6666666666666667,53.6,CF Industries,Materials,Fertilizers & Agricultural Chemicals,1.0
VST,7.142857142857142,14.285714285714285,60.71428571428571,53.57142857142857,0.2,70.73333333333333,Vistra Corp.,Utilities,Electric Utilities,0.967083301967279
EVRG,7.142857142857142,13.333333333333334,20.0,12.857142857142858,0.0,95.19999999999999,Evergy,Utilities,Electric Utilities,0.9824074074074073
ARES,12.5,12.5,25.0,12.5,0.0,82.46666666666667,Ares Management,Financials,Asset Management & Custody Banks,1.0
TAP,6.666666666666667,11.11111111111111,22.22222222222222,15.555555555555554,0.0,88.73333333333333,Molson Coors Beverage Company,Consumer Staples,Brewers,0.9833333333333334
ADI,8.333333333333332,11.11111111111111,25.0,16.666666666666668,0.0,78.33333333333333,Analog Devices,Information Technology,Semiconductors,1.0
KMI,6.25,11.11111111111111,11.11111111111111,4.861111111111111,0.0,95.86666666666666,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,0.9994006363487721
CNP,7.142857142857142,10.714285714285714,25.0,17.857142857142858,0.0,85.26666666666667,CenterPoint Energy,Utilities,Multi-Utilities,1.0
PPG,5.263157894736842,10.526315789473683,26.31578947368421,21.052631578947366,0.0,80.2,PPG Industries,Materials,Specialty Chemicals,1.0
AMGN,9.090909090909092,9.090909090909092,27.27272727272727,18.18181818181818,0.0,89.53333333333333,Amgen,Health Care,Biotechnology,1.0
RSG,4.166666666666666,8.333333333333332,25.0,20.833333333333336,0.0,89.0,Republic Services,Industrials,Environmental & Facilities Services,1.0
ITW,4.166666666666666,8.333333333333332,18.75,14.583333333333334,0.0,93.8,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,1.0
PPL,3.571428571428571,6.666666666666667,6.666666666666667,3.095238095238096,0.0,100.0,PPL Corporation,Utilities,Electric Utilities,1.0
IFF,5.263157894736842,5.263157894736842,26.31578947368421,21.052631578947366,0.0,81.93333333333334,International Flavors & Fragrances,Materials,Specialty Chemicals,1.0
