"ticker","name","sector","rank","score","lower_bound","upper_bound","pillars_available","pillars_required","contribution","planning","nature","social","source"
"FDX","FedEx","Industrials","","","21.00","41.00","3","4","0","80","","25","https://www.worldbenchmarkingalliance.org/company/fedex"
"FDXF","FedEx Freight","Industrials","","","0.00","100.00","0","4","","","","",""
"FERG","Ferguson Enterprises","Industrials","","","0.00","100.00","0","4","","","","",""
"FIS","Fidelity National Information Services","Financials","","","0.00","100.00","0","4","","","","",""
"FITB","Fifth Third Bancorp","Financials","","","4.28","24.28","3","4","0","20","","1.4","https://www.worldbenchmarkingalliance.org/company/fifth-third-bancorp"
"FSLR","First Solar","Information Technology","","","19.78","39.78","3","4","0","60","","38.9","https://www.worldbenchmarkingalliance.org/company/first-solar"
"FE","FirstEnergy","Utilities","","","0.00","100.00","0","4","","","","",""
"FISV","Fiserv","Financials","","","6.40","26.40","3","4","0","20","","12","https://www.worldbenchmarkingalliance.org/company/fiserv"
"FLEX","Flex Ltd.","Information Technology","","","0.00","100.00","0","4","","","","",""
"F","Ford Motor Company","Consumer Discretionary","","","31.48","51.48","3","4","0","100","","57.4","https://www.worldbenchmarkingalliance.org/company/ford"
"FTNT","Fortinet","Information Technology","","","0.00","100.00","0","4","","","","",""
"FTV","Fortive","Industrials","","","0.00","100.00","0","4","","","","",""
"FOXA/FOX","Fox Corporation (Class A)","Communication Services","","","0.00","100.00","0","4","","","","",""
"BEN","Franklin Resources","Financials","","","14.88","34.88","3","4","0","60","","14.4","https://www.worldbenchmarkingalliance.org/company/franklin-resources"
"GRMN","Garmin","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"IT","Gartner","Information Technology","","","0.00","100.00","0","4","","","","",""
"GE","GE Aerospace","Industrials","","","0.00","100.00","0","4","","","","",""
"GEHC","GE HealthCare","Health Care","","","0.00","100.00","0","4","","","","",""
"GEN","Gen Digital","Information Technology","","","0.00","100.00","0","4","","","","",""
"GNRC","Generac","Industrials","","","0.00","100.00","0","4","","","","",""
"GD","General Dynamics","Industrials","","","0.00","100.00","0","4","","","","",""
"GM","General Motors","Consumer Discretionary","","","20.82","40.82","3","4","0","80","","24.1","https://www.worldbenchmarkingalliance.org/company/general-motors"
"GPC","Genuine Parts Company","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"GPN","Global Payments","Financials","","","0.00","100.00","0","4","","","","",""
"GL","Globe Life","Financials","","","0.00","100.00","0","4","","","","",""
"GDDY","GoDaddy","Information Technology","","","0.00","100.00","0","4","","","","",""
"GS","Goldman Sachs","Financials","","","13.66","33.66","3","4","0","60","","8.3","https://www.worldbenchmarkingalliance.org/company/goldman-sachs"
"HAL","Halliburton","Energy","","","0.00","100.00","0","4","","","","",""
"HIG","Hartford (The)","Financials","","","0.00","100.00","0","4","","","","",""
"HAS","Hasbro","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"HCA","HCA Healthcare","Health Care","","","0.00","100.00","0","4","","","","",""
"DOC","Healthpeak Properties","Real Estate","","","0.00","100.00","0","4","","","","",""
"HSIC","Henry Schein","Health Care","","","0.00","100.00","0","4","","","","",""
"HPE","Hewlett Packard Enterprise","Information Technology","","","0.00","100.00","0","4","","","","",""
"HLT","Hilton Worldwide","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"HD","Home Depot (The)","Consumer Discretionary","","","14.88","34.88","3","4","0","60","","14.4","https://www.worldbenchmarkingalliance.org/company/home-depot"
"HONA","Honeywell Aerospace","Industrials","","","0.00","100.00","0","4","","","","",""
"HON","Honeywell Technologies","Industrials","","","0.00","100.00","0","4","","","","",""
"HST","Host Hotels & Resorts","Real Estate","","","0.00","100.00","0","4","","","","",""
"HWM","Howmet Aerospace","Industrials","","","0.00","100.00","0","4","","","","",""
"HPQ","HP Inc.","Information Technology","","","25.16","45.16","3","4","0","60","","65.8","https://www.worldbenchmarkingalliance.org/company/hp"
"HUBB","Hubbell Incorporated","Industrials","","","0.00","100.00","0","4","","","","",""
"HUM","Humana","Health Care","","","0.00","100.00","0","4","","","","",""
"HBAN","Huntington Bancshares","Financials","","","0.00","100.00","0","4","","","","",""
"HII","Huntington Ingalls Industries","Industrials","","","0.00","100.00","0","4","","","","",""
"IBM","IBM","Information Technology","","","14.32","34.32","3","4","0","60","","11.6","https://www.worldbenchmarkingalliance.org/company/ibm"
"IEX","IDEX Corporation","Industrials","","","0.00","100.00","0","4","","","","",""
"IDXX","Idexx Laboratories","Health Care","","","0.00","100.00","0","4","","","","",""
"ITW","Illinois Tool Works","Industrials","","","0.00","100.00","0","4","","","","",""
"INCY","Incyte","Health Care","","","0.00","100.00","0","4","","","","",""
"IR","Ingersoll Rand","Industrials","","","0.00","100.00","0","4","","","","",""
"PODD","Insulet Corporation","Health Care","","","0.00","100.00","0","4","","","","",""
"INTC","Intel","Information Technology","","","16.72","36.72","3","4","0","60","","23.6","https://www.worldbenchmarkingalliance.org/company/intel"
"IBKR","Interactive Brokers","Financials","","","0.00","100.00","0","4","","","","",""
"ICE","Intercontinental Exchange","Financials","","","0.00","100.00","0","4","","","","",""
"IFF","International Flavors & Fragrances","Materials","","","0.00","100.00","0","4","","","","",""
"INTU","Intuit","Information Technology","","","0.00","100.00","0","4","","","","",""
"ISRG","Intuitive Surgical","Health Care","","","0.00","100.00","0","4","","","","",""
"IVZ","Invesco","Financials","","","0.56","20.56","3","4","0","0","","2.8","https://www.worldbenchmarkingalliance.org/company/invesco"
"INVH","Invitation Homes","Real Estate","","","0.00","100.00","0","4","","","","",""
"IQV","IQVIA","Health Care","","","0.00","100.00","0","4","","","","",""
"IRM","Iron Mountain","Real Estate","","","0.00","100.00","0","4","","","","",""
"JBHT","J.B. Hunt","Industrials","","","0.00","100.00","0","4","","","","",""
"JBL","Jabil","Information Technology","","","0.00","100.00","0","4","","","","",""
"JKHY","Jack Henry & Associates","Financials","","","0.00","100.00","0","4","","","","",""
"J","Jacobs Solutions","Industrials","","","0.00","100.00","0","4","","","","",""
"JCI","Johnson Controls","Industrials","","","0.00","100.00","0","4","","","","",""
"JPM","JPMorgan Chase","Financials","","","16.16","36.16","3","4","0","60","","20.8","https://www.worldbenchmarkingalliance.org/company/jp-morgan-chase"
"KVUE","Kenvue","Consumer Staples","","","0.00","100.00","0","4","","","","",""
"KEY","KeyCorp","Financials","","","7.70","27.70","3","4","0","20","","18.5","https://www.worldbenchmarkingalliance.org/company/keycorp"
"KEYS","Keysight Technologies","Information Technology","","","0.00","100.00","0","4","","","","",""
"KIM","Kimco Realty","Real Estate","","","0.00","100.00","0","4","","","","",""
"KMI","Kinder Morgan","Energy","","","0.00","100.00","0","4","","","","",""
"KKR","KKR & Co.","Financials","","","4.38","24.38","3","4","0","20","","1.9","https://www.worldbenchmarkingalliance.org/company/kkr"
"KLAC","KLA Corporation","Information Technology","","","0.00","100.00","0","4","","","","",""
"LHX","L3Harris","Industrials","","","0.00","100.00","0","4","","","","",""
"LH","Labcorp","Health Care","","","0.00","100.00","0","4","","","","",""
"LRCX","Lam Research","Information Technology","","","17.84","37.84","3","4","0","60","","29.2","https://www.worldbenchmarkingalliance.org/company/lam-research"
"LVS","Las Vegas Sands","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"LDOS","Leidos","Industrials","","","0.00","100.00","0","4","","","","",""
"LEN","Lennar","Consumer Discretionary","","","6.32","26.32","3","4","0","20","","11.6","https://www.worldbenchmarkingalliance.org/company/lennar"
"LII","Lennox International","Industrials","","","0.00","100.00","0","4","","","","",""
"LLY","Lilly (Eli)","Health Care","","","0.00","100.00","0","4","","","","",""
"LYV","Live Nation Entertainment","Communication Services","","","0.00","100.00","0","4","","","","",""
"LMT","Lockheed Martin","Industrials","","","0.00","100.00","0","4","","","","",""
"L","Loews Corporation","Financials","","","0.00","100.00","0","4","","","","",""
"LOW","Lowe's","Consumer Discretionary","","","18.30","38.30","3","4","0","60","","31.5","https://www.worldbenchmarkingalliance.org/company/lowes"
"LITE","Lumentum","Information Technology","","","0.00","100.00","0","4","","","","",""
"MTB","M&T Bank","Financials","","","0.00","100.00","0","4","","","","",""
"MPC","Marathon Petroleum","Energy","","","15.78","35.78","3","4","0","40","","38.9","https://www.worldbenchmarkingalliance.org/company/marathon-petroleum"
"MAR","Marriott International","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"MRSH","Marsh McLennan","Financials","","","0.00","100.00","0","4","","","","",""
"MRVL","Marvell Technology","Information Technology","","","0.00","100.00","0","4","","","","",""
"MAS","Masco","Industrials","","","0.00","100.00","0","4","","","","",""
"MA","Mastercard","Financials","","","10.12","30.12","3","4","0","40","","10.6","https://www.worldbenchmarkingalliance.org/company/mastercard"
"MCK","McKesson Corporation","Health Care","","","0.00","100.00","0","4","","","","",""
"MDT","Medtronic","Health Care","","","0.00","100.00","0","4","","","","",""
"MRK","Merck & Co.","Health Care","","","0.00","100.00","0","4","","","","",""
"META","Meta Platforms","Communication Services","","","0.00","100.00","0","4","","","","",""
"MET","MetLife","Financials","","","14.50","34.50","3","4","0","60","","12.5","https://www.worldbenchmarkingalliance.org/company/metlife"
"MTD","Mettler Toledo","Health Care","","","0.00","100.00","0","4","","","","",""
"MGM","MGM Resorts","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"MCHP","Microchip Technology","Information Technology","","","16.38","36.38","3","4","0","80","","1.9","https://www.worldbenchmarkingalliance.org/company/microchip-technology"
"MU","Micron Technology","Information Technology","","","13.10","33.10","3","4","0","40","","25.5","https://www.worldbenchmarkingalliance.org/company/micron-technology"
"MSFT","Microsoft","Information Technology","","","21.54","41.54","3","4","0","60","","47.7","https://www.worldbenchmarkingalliance.org/company/microsoft"
"MAA","Mid-America Apartment Communities","Real Estate","","","0.00","100.00","0","4","","","","",""
"MPWR","Monolithic Power Systems","Information Technology","","","0.00","100.00","0","4","","","","",""
"MCO","Moody's Corporation","Financials","","","0.00","100.00","0","4","","","","",""
"MS","Morgan Stanley","Financials","","","17.38","37.38","3","4","0","60","","26.9","https://www.worldbenchmarkingalliance.org/company/morgan-stanley"
"MSI","Motorola Solutions","Information Technology","","","0.00","100.00","0","4","","","","",""
"MSCI","MSCI","Financials","","","0.00","100.00","0","4","","","","",""
"NDAQ","Nasdaq, Inc.","Financials","","","0.00","100.00","0","4","","","","",""
"NTAP","NetApp","Information Technology","","","16.36","36.36","3","4","0","60","","21.8","https://www.worldbenchmarkingalliance.org/company/netapp"
"NFLX","Netflix","Communication Services","","","9.40","29.40","3","4","0","40","","7","https://www.worldbenchmarkingalliance.org/company/netflix"
"NWSA/NWS","News Corp (Class A)","Communication Services","","","0.00","100.00","0","4","","","","",""
"NEE","NextEra Energy","Utilities","","","15.24","35.24","3","4","0","60","","16.2","https://www.worldbenchmarkingalliance.org/company/nextera-energy"
"NI","NiSource","Utilities","","","0.00","100.00","0","4","","","","",""
"NDSN","Nordson Corporation","Industrials","","","0.00","100.00","0","4","","","","",""
"NSC","Norfolk Southern","Industrials","","","0.00","100.00","0","4","","","","",""
"NTRS","Northern Trust","Financials","","","9.74","29.74","3","4","0","20","","28.7","https://www.worldbenchmarkingalliance.org/company/northern-trust"
"NOC","Northrop Grumman","Industrials","","","0.00","100.00","0","4","","","","",""
"NRG","NRG Energy","Utilities","","","10.02","30.02","3","4","0","20","","30.1","https://www.worldbenchmarkingalliance.org/company/nrg-energy"
"NVDA","Nvidia","Information Technology","","","14.02","34.02","3","4","0","40","","30.1","https://www.worldbenchmarkingalliance.org/company/nvidia"
"NVR","NVR, Inc.","Consumer Discretionary","","","1.30","21.30","3","4","0","0","","6.5","https://www.worldbenchmarkingalliance.org/company/nvr"
"NXPI","NXP Semiconductors","Information Technology","","","22.00","42.00","3","4","0","60","","50","https://www.worldbenchmarkingalliance.org/company/nxp-semiconductors"
"ORLY","O'Reilly Automotive","Consumer Discretionary","","","5.86","25.86","3","4","0","20","","9.3","https://www.worldbenchmarkingalliance.org/company/oreilly-automotive"
"OXY","Occidental Petroleum","Energy","","","11.70","31.70","3","4","0","40","","18.5","https://www.worldbenchmarkingalliance.org/company/occidental-petroleum"
"ODFL","Old Dominion","Industrials","","","0.00","100.00","0","4","","","","",""
"OMC","Omnicom Group","Communication Services","","","0.00","100.00","0","4","","","","",""
"ON","ON Semiconductor","Information Technology","","","0.00","100.00","0","4","","","","",""
"OKE","Oneok","Energy","","","0.00","100.00","0","4","","","","",""
"ORCL","Oracle Corporation","Information Technology","","","17.66","37.66","3","4","0","60","","28.3","https://www.worldbenchmarkingalliance.org/company/oracle"
"OTIS","Otis Worldwide","Industrials","","","0.00","100.00","0","4","","","","",""
"PCAR","Paccar","Industrials","","","17.28","37.28","3","4","0","60","","26.4","https://www.worldbenchmarkingalliance.org/company/paccar"
"PKG","Packaging Corporation of America","Materials","","","0.00","100.00","0","4","","","","",""
"PLTR","Palantir Technologies","Information Technology","","","0.00","100.00","0","4","","","","",""
"PANW","Palo Alto Networks","Information Technology","","","0.00","100.00","0","4","","","","",""
"PSKY","Paramount Skydance Corporation","Communication Services","","","0.00","100.00","0","4","","","","",""
"PH","Parker Hannifin","Industrials","","","0.00","100.00","0","4","","","","",""
"PAYX","Paychex","Industrials","","","0.00","100.00","0","4","","","","",""
"PYPL","PayPal","Financials","","","14.30","34.30","3","4","0","40","","31.5","https://www.worldbenchmarkingalliance.org/company/paypal"
"PNR","Pentair","Industrials","","","0.00","100.00","0","4","","","","",""
"PCG","PG&E Corporation","Utilities","","","17.46","37.46","3","4","0","60","","27.3","https://www.worldbenchmarkingalliance.org/company/pge"
"PM","Philip Morris International","Consumer Staples","","","0.00","100.00","0","4","","","","",""
"PSX","Phillips 66","Energy","","","9.94","29.94","3","4","0","40","","9.7","https://www.worldbenchmarkingalliance.org/company/phillips-66"
"PNW","Pinnacle West Capital","Utilities","","","0.00","100.00","0","4","","","","",""
"PNC","PNC Financial Services","Financials","","","0.00","100.00","0","4","","","","",""
"PPL","PPL Corporation","Utilities","","","10.32","30.32","3","4","0","40","","11.6","https://www.worldbenchmarkingalliance.org/company/ppl"
"PFG","Principal Financial Group","Financials","","","11.32","31.32","3","4","0","20","","36.6","https://www.worldbenchmarkingalliance.org/company/principal-financial"
"PGR","Progressive Corporation","Financials","","","5.58","25.58","3","4","0","20","","7.9","https://www.worldbenchmarkingalliance.org/company/progressive"
"PLD","Prologis","Real Estate","","","16.54","36.54","3","4","0","60","","22.7","https://www.worldbenchmarkingalliance.org/company/prologis"
"PRU","Prudential Financial","Financials","","","7.70","27.70","3","4","0","20","","18.5","https://www.worldbenchmarkingalliance.org/company/prudential-financial"
"PTC","PTC Inc.","Information Technology","","","0.00","100.00","0","4","","","","",""
"PEG","Public Service Enterprise Group","Utilities","","","0.00","100.00","0","4","","","","",""
"PSA","Public Storage","Real Estate","","","0.00","100.00","0","4","","","","",""
"PHM","PulteGroup","Consumer Discretionary","","","8.64","28.64","3","4","0","20","","23.2","https://www.worldbenchmarkingalliance.org/company/pultegroup"
"Q","Qnity Electronics","Information Technology","","","0.00","100.00","0","4","","","","",""
"QCOM","Qualcomm","Information Technology","","","19.96","39.96","3","4","0","60","","39.8","https://www.worldbenchmarkingalliance.org/company/qualcomm"
"PWR","Quanta Services","Industrials","","","0.00","100.00","0","4","","","","",""
"DGX","Quest Diagnostics","Health Care","","","0.00","100.00","0","4","","","","",""
"RJF","Raymond James Financial","Financials","","","9.10","29.10","3","4","0","20","","25.5","https://www.worldbenchmarkingalliance.org/company/raymond-james-financial"
"O","Realty Income","Real Estate","","","7.34","27.34","3","4","0","20","","16.7","https://www.worldbenchmarkingalliance.org/company/realty-income"
"RDDT","Reddit","Communication Services","","","0.00","100.00","0","4","","","","",""
"REG","Regency Centers","Real Estate","","","0.00","100.00","0","4","","","","",""
"REGN","Regeneron Pharmaceuticals","Health Care","","","0.00","100.00","0","4","","","","",""
"RF","Regions Financial Corporation","Financials","","","0.00","100.00","0","4","","","","",""
"RSG","Republic Services","Industrials","","","17.00","37.00","3","4","0","60","","25","https://www.worldbenchmarkingalliance.org/company/republic-services"
"RMD","ResMed|","Health Care","","","0.00","100.00","0","4","","","","",""
"RVTY","Revvity","Health Care","","","0.00","100.00","0","4","","","","",""
"HOOD","Robinhood Markets","Financials","","","0.00","100.00","0","4","","","","",""
"ROK","Rockwell Automation","Industrials","","","0.00","100.00","0","4","","","","",""
"ROL","Rollins, Inc.","Industrials","","","0.00","100.00","0","4","","","","",""
"ROP","Roper Technologies","Information Technology","","","0.00","100.00","0","4","","","","",""
"RTX","RTX Corporation","Industrials","","","0.00","100.00","0","4","","","","",""
"SPGI","S&P Global","Financials","","","0.00","100.00","0","4","","","","",""
"CRM","Salesforce","Information Technology","","","13.66","33.66","3","4","0","40","","28.3","https://www.worldbenchmarkingalliance.org/company/salesforce"
"SNDK","Sandisk","Information Technology","","","0.00","100.00","0","4","","","","",""
"SBAC","SBA Communications","Real Estate","","","0.00","100.00","0","4","","","","",""
"SLB","Schlumberger","Energy","","","0.00","100.00","0","4","","","","",""
"STX","Seagate Technology","Information Technology","","","0.00","100.00","0","4","","","","",""
"SRE","Sempra","Utilities","","","0.00","100.00","0","4","","","","",""
"NOW","ServiceNow","Information Technology","","","15.14","35.14","3","4","0","60","","15.7","https://www.worldbenchmarkingalliance.org/company/servicenow"
"SPG","Simon Property Group","Real Estate","","","13.38","33.38","3","4","0","60","","6.9","https://www.worldbenchmarkingalliance.org/company/simon-property-group"
"SWKS","Skyworks Solutions","Information Technology","","","0.00","100.00","0","4","","","","",""
"SNA","Snap-on","Industrials","","","0.00","100.00","0","4","","","","",""
"SOLV","Solventum","Health Care","","","0.00","100.00","0","4","","","","",""
"SO","Southern Company","Utilities","","","10.40","30.40","3","4","0","20","","32","https://www.worldbenchmarkingalliance.org/company/southern-co"
"LUV","Southwest Airlines","Industrials","","","15.88","35.88","3","4","0","60","","19.4","https://www.worldbenchmarkingalliance.org/company/southwest-airlines"
"SWK","Stanley Black & Decker","Industrials","","","0.00","100.00","0","4","","","","",""
"STT","State Street Corporation","Financials","","","6.40","26.40","3","4","0","20","","12","https://www.worldbenchmarkingalliance.org/company/state-street"
"STE","Steris","Health Care","","","0.00","100.00","0","4","","","","",""
"SYK","Stryker Corporation","Health Care","","","0.00","100.00","0","4","","","","",""
"SMCI","Supermicro","Information Technology","","","0.00","100.00","0","4","","","","",""
"SYF","Synchrony Financial","Financials","","","0.00","100.00","0","4","","","","",""
"SNPS","Synopsys","Information Technology","","","0.00","100.00","0","4","","","","",""
"TMUS","T-Mobile US","Communication Services","","","0.00","100.00","0","4","","","","",""
"TROW","T. Rowe Price","Financials","","","11.24","31.24","3","4","0","40","","16.2","https://www.worldbenchmarkingalliance.org/company/t-rowe-price-group"
"TTWO","Take-Two Interactive","Communication Services","","","0.00","100.00","0","4","","","","",""
"TRGP","Targa Resources","Energy","","","10.76","30.76","3","4","0","20","","33.8","https://www.worldbenchmarkingalliance.org/company/targa-resources"
"TGT","Target Corporation","Consumer Staples","","","44.90","64.90","3","4","50","100","","24.5","https://www.worldbenchmarkingalliance.org/company/target"
"TEL","TE Connectivity","Information Technology","","","21.26","41.26","3","4","0","60","","46.3","https://www.worldbenchmarkingalliance.org/company/te-connectivity"
"TDY","Teledyne Technologies","Information Technology","","","0.00","100.00","0","4","","","","",""
"TER","Teradyne","Information Technology","","","0.00","100.00","0","4","","","","",""
"TSLA","Tesla, Inc.","Consumer Discretionary","","","13.38","33.38","3","4","0","60","","6.9","https://www.worldbenchmarkingalliance.org/company/tesla"
"TXN","Texas Instruments","Information Technology","","","13.46","33.46","3","4","0","40","","27.3","https://www.worldbenchmarkingalliance.org/company/texas-instruments"
"TPL","Texas Pacific Land Corporation","Energy","","","0.00","100.00","0","4","","","","",""
"TXT","Textron","Industrials","","","0.00","100.00","0","4","","","","",""
"TMO","Thermo Fisher Scientific","Health Care","","","0.00","100.00","0","4","","","","",""
"TKO","TKO Group Holdings","Communication Services","","","0.00","100.00","0","4","","","","",""
"TSCO","Tractor Supply","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"TTD","Trade Desk (The)","Communication Services","","","0.00","100.00","0","4","","","","",""
"TT","Trane Technologies","Industrials","","","0.00","100.00","0","4","","","","",""
"TDG","TransDigm Group","Industrials","","","0.00","100.00","0","4","","","","",""
"TRV","Travelers Companies (The)","Financials","","","0.00","100.00","0","4","","","","",""
"TRMB","Trimble Inc.","Information Technology","","","0.00","100.00","0","4","","","","",""
"TFC","Truist Financial","Financials","","","0.00","100.00","0","4","","","","",""
"TYL","Tyler Technologies","Information Technology","","","0.00","100.00","0","4","","","","",""
"USB","U.S. Bancorp","Financials","","","8.54","28.54","3","4","0","20","","22.7","https://www.worldbenchmarkingalliance.org/company/us-bancorp"
"UBER","Uber","Industrials","","","14.12","34.12","3","4","0","60","","10.6","https://www.worldbenchmarkingalliance.org/company/uber"
"UDR","UDR, Inc.","Real Estate","","","0.00","100.00","0","4","","","","",""
"ULTA","Ulta Beauty","Consumer Discretionary","","","11.80","31.80","3","4","0","40","","19","https://www.worldbenchmarkingalliance.org/company/ulta-beauty"
"UNP","Union Pacific Corporation","Industrials","","","0.00","100.00","0","4","","","","",""
"UAL","United Airlines Holdings","Industrials","","","15.06","35.06","3","4","0","60","","15.3","https://www.worldbenchmarkingalliance.org/company/united-airlines-holdings"
"UPS","United Parcel Service","Industrials","","","12.08","32.08","3","4","0","40","","20.4","https://www.worldbenchmarkingalliance.org/company/united-parcel-service"
"URI","United Rentals","Industrials","","","0.00","100.00","0","4","","","","",""
"UNH","UnitedHealth Group","Health Care","","","0.00","100.00","0","4","","","","",""
"UHS","Universal Health Services","Health Care","","","0.00","100.00","0","4","","","","",""
"VLO","Valero Energy","Energy","","","13.38","33.38","3","4","0","40","","26.9","https://www.worldbenchmarkingalliance.org/company/valero-energy"
"VEEV","Veeva Systems","Health Care","","","0.00","100.00","0","4","","","","",""
"VTR","Ventas","Real Estate","","","0.00","100.00","0","4","","","","",""
"VLTO","Veralto","Industrials","","","0.00","100.00","0","4","","","","",""
"VRSN","Verisign","Information Technology","","","0.00","100.00","0","4","","","","",""
"VRSK","Verisk Analytics","Industrials","","","0.00","100.00","0","4","","","","",""
"VZ","Verizon","Communication Services","","","25.44","45.44","3","4","0","80","","47.2","https://www.worldbenchmarkingalliance.org/company/verizon"
"VRTX","Vertex Pharmaceuticals","Health Care","","","0.00","100.00","0","4","","","","",""
"VRT","Vertiv","Industrials","","","0.00","100.00","0","4","","","","",""
"VTRS","Viatris","Health Care","","","0.00","100.00","0","4","","","","",""
"VICI","Vici Properties","Real Estate","","","0.00","100.00","0","4","","","","",""
"V","Visa Inc.","Financials","","","15.62","35.62","3","4","0","60","","18.1","https://www.worldbenchmarkingalliance.org/company/visa"
"VST","Vistra Corp.","Utilities","","","17.46","37.46","3","4","0","60","","27.3","https://www.worldbenchmarkingalliance.org/company/vistra"
"VMRK","Vivmark Residential","Real Estate","","","0.00","100.00","0","4","","","","",""
"VMC","Vulcan Materials Company","Materials","","","0.00","100.00","0","4","","","","",""
"WRB","W. R. Berkley Corporation","Financials","","","0.00","100.00","0","4","","","","",""
"GWW","W. W. Grainger","Industrials","","","0.00","100.00","0","4","","","","",""
"WAB","Wabtec","Industrials","","","0.00","100.00","0","4","","","","",""
"DIS","Walt Disney Company (The)","Communication Services","","","18.12","38.12","3","4","0","60","","30.6","https://www.worldbenchmarkingalliance.org/company/walt-disney"
"WBD","Warner Bros. Discovery","Communication Services","","","6.60","26.60","3","4","0","20","","13","https://www.worldbenchmarkingalliance.org/company/warner-bros-discovery"
"WM","Waste Management","Industrials","","","18.94","38.94","3","4","0","60","","34.7","https://www.worldbenchmarkingalliance.org/company/waste-management-inc"
"WAT","Waters Corporation","Health Care","","","0.00","100.00","0","4","","","","",""
"WEC","WEC Energy Group","Utilities","","","9.58","29.58","3","4","0","40","","7.9","https://www.worldbenchmarkingalliance.org/company/wec-energy-group"
"WFC","Wells Fargo","Financials","","","8.54","28.54","3","4","0","20","","22.7","https://www.worldbenchmarkingalliance.org/company/wells-fargo"
"WELL","Welltower","Real Estate","","","10.30","30.30","3","4","0","20","","31.5","https://www.worldbenchmarkingalliance.org/company/welltower"
"WST","West Pharmaceutical Services","Health Care","","","0.00","100.00","0","4","","","","",""
"WDC","Western Digital","Information Technology","","","18.12","38.12","3","4","0","60","","30.6","https://www.worldbenchmarkingalliance.org/company/western-digital"
"WMB","Williams Companies","Energy","","","0.00","100.00","0","4","","","","",""
"WSM","Williams-Sonoma, Inc.","Consumer Discretionary","","","13.66","33.66","3","4","0","60","","8.3","https://www.worldbenchmarkingalliance.org/company/williams-sonoma"
"WTW","Willis Towers Watson","Financials","","","5.76","25.76","3","4","0","20","","8.8","https://www.worldbenchmarkingalliance.org/company/willis-towers-watson"
"WDAY","Workday, Inc.","Information Technology","","","0.00","100.00","0","4","","","","",""
"WYNN","Wynn Resorts","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"XEL","Xcel Energy","Utilities","","","14.50","34.50","3","4","0","60","","12.5","https://www.worldbenchmarkingalliance.org/company/xcel-energy"
"XYL","Xylem Inc.","Industrials","","","17.74","37.74","3","4","0","60","","28.7","https://www.worldbenchmarkingalliance.org/company/xylem"
"ZBRA","Zebra Technologies","Information Technology","","","0.00","100.00","0","4","","","","",""
"ZBH","Zimmer Biomet","Health Care","","","0.00","100.00","0","4","","","","",""
"ZTS","Zoetis","Health Care","","","0.00","100.00","0","4","","","","",""
